nome,unidade negocios,cpf_cnpj,marcas,instagram,uf,cidade,regiao,telefone/email,pote de ouro,numero pedido,estagio funil
Lojas M. Huntt,LBM,,"Lança perfume, Farm, Myft",https://www.instagram.com/lojasmhuntt/,SC - Santa Catarina,Florianopolis,Sul,48991927552,Sim,,Novo/Sem Contato
Tzamp Multimarcas,LBM/LM,,"Calvin Klein, Osklen, Ogochi, Lez a Lez",https://www.instagram.com/tzamp_multimarcas/,SP - São Paulo,Americana,Sudeste,19991027373,Sim,,Novo/Sem Contato
Néia Boutique,LBM/LM,,"Farm, Oh Boy, Open, Tommy, Calvin Klein, Ellus, Adidas",https://www.instagram.com/neiaboutique/,SC - Santa Catarina,Barra Velha,Sul,4788811788,Sim,,Novo/Sem Contato
Best Multimarcas,LBM/LM,,"Colcci, Reserva, Guess, Ogochi, Cavalera, Tommy, Schutz",https://www.instagram.com/bestmultimarcascn/,SC - Santa Catarina,Campos Novos,Sul,49988997542,Sim,,Novo/Sem Contato
Flor e Pimenta,LBM/LM,,"Acostamento, Lez a Lez, King&Joe, BanaBana",https://www.instagram.com/flor_e_pimenta/,SC - Santa Catarina,Barra Velha,Sul,47997564217,Sim,,Novo/Sem Contato
Lojas Petris,LBM/LM,,"Farm, Calvin Klein, Reserva, Triton, John John",https://www.instagram.com/lojaspetris/,SC - Santa Catarina,Navegantes,Sul,47988094890,Sim,,Novo/Sem Contato
Absolutta Boutique,LBM,,"Colcci, Morena Rosa, Dimy, Sommer",https://www.instagram.com/absoluttaboutique/,MS - Mato Grosso do Sul,Jardim,Centro-Oeste,67999863182,Sim,,Novo/Sem Contato
Relva Modas,LBM/LM,,"Colcci, Triton, Calvin Klein, Forum",https://www.instagram.com/relvamodas/,RN - Rio Grande do Norte,Joao Camara,Nordeste,84991482153,Sim,,Novo/Sem Contato
Rosa Fashion,LBM,,"Lança perfume, Myft, Amarante",https://www.instagram.com/rosafashionboutiquemf/,SP - São Paulo,Pindamonhangaba,Sudeste,12991865415,Sim,,Novo/Sem Contato
Marielena Boutique,LBM/LM,,"Colcci, Dimy, Docthos, Acostamento, Aero, Lado Avesso",https://www.instagram.com/marielenaboutique/,PE - Pernambuco,Araripina,Nordeste,87991921794,Sim,,Novo/Sem Contato
La Viss For Men,LM,,"John John, Calvin Klein, Osklen, Aramis, M.Pollo",https://www.instagram.com/lojalaviss/,SP - São Paulo,Sumare,Sudeste,19995558731,Sim,,Novo/Sem Contato
