nome,unidade negocios,cpf_cnpj,marcas,instagram,uf,cidade,regiao,telefone/email,pote de ouro,numero pedido,estagio funil
Loja Treviso,LBM/LM,,"Colcci, Forum, Index Denim",https://www.instagram.com/lojatreviso/,MG - Minas Gerais,Alvinopolis,Sudeste,3138551063,Sim,,Novo/Sem Contato
Pimenta Moça Boutique,LBM/LM,,"Colcci, Morena Rosa, Gatabakana, Ogochi, Pacco",https://www.instagram.com/pimentamocaboutique/,MG - Minas Gerais,Arapua,Sudeste,34997306708,Sim,,Novo/Sem Contato
Legacy Multimarcas,LBM/LM,,"Colcci, Acostamento, Forum, Animale, Cantão",https://www.instagram.com/legacy_multimarcas/,MG - Minas Gerais,Cataguases,Sudeste,32999848546,Sim,,Novo/Sem Contato
Espaço Lais Martins,LBM/LM,,"Colcci, Reserva, Open, Myft, Farm, My Place",https://www.instagram.com/espacolaismartins/,MG - Minas Gerais,Bambui,Sudeste,37999277921,Sim,,Novo/Sem Contato
Victória Boutique,LBM/LM,,"Morena Rosa, Farm, John John, Santa Lolla, Levis",https://www.instagram.com/victoriaboutique_/,MG - Minas Gerais,Campos Gerais,Sudeste,35988225464,Sim,,Novo/Sem Contato
Up Boutique,LBM/LM,,Colcci,https://www.instagram.com/upboutique/,MG - Minas Gerais,Cruzilia,Sudeste,35998942233,Sim,,Novo/Sem Contato
Boutique Aconchego,LBM/LM,,"Colcci, Farm, Cantão, My Place",https://www.instagram.com/boutiqueaconchego/,MG - Minas Gerais,Caxambu,Sudeste,3533411124,Sim,,Novo/Sem Contato
Loja Amnésia,LBM/LM,,"Farm, Melissa, Shoulder, Ellus",https://www.instagram.com/amnesiauba_vrb/,MG - Minas Gerais,Uba,Sudeste,32984264626,Sim,,Novo/Sem Contato
Zini Boutique,LBM/LM,,"Lança perfume, Colcci, Live, Lacoste, Myft, Dress to",https://www.instagram.com/ziniboutiqueef/,MG - Minas Gerais,Espera Feliz,Sudeste,32984423649,Sim,,Novo/Sem Contato
Outlet Verona,LBM/LM,,"Reserva, Nike, Ogochi, Cavalera, Levis, Adidas, Ellus",https://www.instagram.com/outletverona/,MG - Minas Gerais,Divinopolis,Sudeste,3732142465,Sim,,Novo/Sem Contato
Planeta Radical,LM,,"Colcci, Calvin Klein, Osklen, Maresia, Quiksilver",https://www.instagram.com/planetadivinopolis/,MG - Minas Gerais,Divinopolis,Sudeste,37991510175,Sim,,Novo/Sem Contato
Dettagli Store,LBM/LM,,"Lança perfume, Colcci, Tommy, Calvin Klein, Forum",https://www.instagram.com/dettaglistore/,MG - Minas Gerais,Alfenas,Sudeste,35998149590,Sim,,Novo/Sem Contato
Maneca Papagaios,LBM/LM,,"Colcci, Arezzo, Sommer, Hering, Dzarm",https://www.instagram.com/manecapapagaio/,MG - Minas Gerais,Papagaios,Sudeste,37999735930,Sim,,Novo/Sem Contato
Zita Magalhães Store,LBM/LM,,"Lança perfume, Myft, Lez a Lez, Ellus",https://www.instagram.com/zitamagalhaesstore/,MG - Minas Gerais,Rio Pomba,Sudeste,32998050440,Sim,,Novo/Sem Contato
Autentica Moda,LBM,,"Lança perfume, Morena Rosa, Schutz, Patogê",https://www.instagram.com/autenticamoda/,MG - Minas Gerais,Contagem,Sudeste,31992178253,Sim,,Novo/Sem Contato
Vestiré Boutique,LBM,,"Farm, Open, Schutz, Melissa",https://www.instagram.com/boutique.vestire/,MG - Minas Gerais,Mariana,Sudeste,31985226364,Sim,,Novo/Sem Contato
Lê Boutique,LBM/LM,,"Lança perfume, John John, Calvin Klein, Levis, Myft",https://www.instagram.com/voudeleboutique/,MG - Minas Gerais,Ipuiuna,Sudeste,35997516714,Sim,,Novo/Sem Contato
Beatriz Tamires Boutique,LBM,,"Lança perfume, Lez a Lez, Gatabakana,",https://www.instagram.com/beatriztamiresboutique/,MG - Minas Gerais,Betim,Sudeste,31971111712,Sim,,Novo/Sem Contato
Modele Boutique,LBM,,"Colcci, My place, DressTo",https://www.instagram.com/modeleboutiquebh/,MG - Minas Gerais,Belo Horizonte,Sudeste,31985112336,Sim,,Novo/Sem Contato
La Boutique Modas,LBM,,"Colcci, Patogê, My Place, Dimy",https://www.instagram.com/laboutique_modas_/,MG - Minas Gerais,Novo Oriente,Sudeste,33987108234,Sim,,Novo/Sem Contato
Urban By Calçart,LM,,"Colcci, Hering, Aero, Dimy,",https://www.instagram.com/urbanbycalcart/,SE - Sergipe,Itabaiana,Nordeste,79998271449,Sim,,Novo/Sem Contato
Lojas Kibelus,LBM/LM,,"Santa Lolla, Aero",https://www.instagram.com/lojas_kibelus/,SE - Sergipe,Aracaju,Nordeste,79998963034,Sim,,Novo/Sem Contato
Viastore,LBM,,"Lança perfume, Bana Bana",https://www.instagram.com/viastoreaju/,SE - Sergipe,Aracaju,Nordeste,79988771747,Sim,,Novo/Sem Contato
Ferzo,LBM,,"Colcci, Lcecci",https://www.instagram.com/ferzoaju/,SE - Sergipe,Aracaju,Nordeste,79999370191,Sim,,Novo/Sem Contato
Zero 1 For men,LM,,"Colcci, Acostamento, Dimy, Forum",https://www.instagram.com/zero1formen/,SE - Sergipe,Aracaju,Nordeste,79981216046 ,Sim,,Novo/Sem Contato
Loka Mariane,LBM/LM,,"Colcci, Morena Rosa, Levis, Gata Bakana",https://www.instagram.com/mariane_modas/,RN - Rio Grande do Norte,Macau,Nordeste,84999440153,Sim,,Novo/Sem Contato
Rosa de Saron,LBM/LM,,"Farm, Maria Filó,Levis, Dress To, Cholet",https://www.instagram.com/rosadesaroncm/,RN - Rio Grande do Norte,Ceara Mirim,Nordeste,84999809074,Sim,,Novo/Sem Contato
Tendência Modas,LBM/LM,,"Colcci, Acostamento, Bana Bana",https://www.instagram.com/tendnciamodas/,RN - Rio Grande do Norte,Tenente Ananias,Nordeste,84996990990,Sim,,Novo/Sem Contato
Belissima modas,LBM/LM,,"Acostamento, Santa Lolla, Ogochi, Arezzo, Ellus",https://www.instagram.com/belissimamodas_/,RN - Rio Grande do Norte,Umarizal,Nordeste,84998541312,Sim,,Novo/Sem Contato
Loja Vexx,LM,,"Calvin Klein, Reserva, John John",https://www.instagram.com/use_vexx/,RN - Rio Grande do Norte,Mossoro,Nordeste,84988261010,Sim,,Novo/Sem Contato
La belle Cacilda,LBM/LM,,"Lança perfume, Colcci",https://www.instagram.com/labellecacilda/,RN - Rio Grande do Norte,Campo Grande,Nordeste,84999172651,Sim,,Novo/Sem Contato
M Store,LBM,,Colcci,https://www.instagram.com/mstoreoficialnc/,RN - Rio Grande do Norte,Nova Cruz,Nordeste,84991452288,Sim,,Novo/Sem Contato
Loja Uzzu,LBM/LM,,"Reserva, Animale, Schutz, Dress to, Carmim",https://www.instagram.com/lojauzzu/,PI - Piauí,Teresina,Nordeste,86999172930,Sim,,Novo/Sem Contato
Loja Lanny Karynne,LBM,,"Lança perfume, Easy",https://www.instagram.com/lojalannykarynne/,PI - Piauí,Teresina,Nordeste,86999146614,Sim,,Novo/Sem Contato
Loja Exclusiva,LBM/LM,,"Lança perfume, Acostamento",https://www.instagram.com/_lojaexclusivapio9/,PI - Piauí,Pionono,Nordeste,89999198179,Sim,,Novo/Sem Contato
Bontempo,LBM/LM,,"Lança perfume, Colcci, Farm, Tommy",https://www.instagram.com/lojasbontempo/,PI - Piauí,Floriano,Nordeste,89999461179,Sim,,Novo/Sem Contato
Gluck Boutique,LBM/LM,,"Morena Rosa, Cavalera",https://www.instagram.com/gluckboutique2013/,PI - Piauí,Agua Branca,Nordeste,86998337534,Sim,,Novo/Sem Contato
Vip moda store,LBM/LM,,"Colcci, Acostamento",https://www.instagram.com/vipmodastorecocal/,PI - Piauí,Cocal,Nordeste,86998425332,Sim,,Novo/Sem Contato
Geilda Barros Boutique,LBM,,"Lança perfume, Tommy, Myft",https://www.instagram.com/geildabarrosboutique/,PE - Pernambuco,Arcoverde,Nordeste,87996492500,Sim,,Novo/Sem Contato
Stillus one store,LBM/LM,,"Colcci, Acostamento, Melissa",https://www.instagram.com/stillusonestore/,PE - Pernambuco,Correntes,Nordeste,87981144821,Sim,,Novo/Sem Contato
Vigalu,LBM/LM,,"Morena Rosa, Clavin Klein",https://www.instagram.com/vigalusurubim/,PE - Pernambuco,Ramalho,Nordeste,81992531910,Sim,,Novo/Sem Contato
Vigalu,LBM/LM,,"Morena Rosa, Clavin Klein",https://www.instagram.com/vigalusurubim/,PE - Pernambuco,Ramalho,Nordeste,81992531910,Sim,,Novo/Sem Contato
Vigalu,LBM/LM,,"Morena Rosa, Clavin Klein",https://www.instagram.com/vigalusurubim/,PE - Pernambuco,Ramalho,Nordeste,81992531910,Sim,,Novo/Sem Contato
Loja michele,LBM/LM,,Colcci,https://www.instagram.com/lojamichele/,PE - Pernambuco,Petrolandia,Nordeste,87999891400,Sim,,Novo/Sem Contato
Kara nova,LBM/LM,,"Lança perfume, Colcci",https://www.instagram.com/kaaranova/,PE - Pernambuco,Timbauba,Nordeste,81998117272,Sim,,Novo/Sem Contato
Sanmara Modas,LBM/LM,,Colcci,https://www.instagram.com/sanmaramodasloja/,PE - Pernambuco,Amaraji,Nordeste,81999635014,Sim,,Novo/Sem Contato
Izabella griffs,LBM/LM,,Colcci,https://www.instagram.com/izabellagriffs/,PE - Pernambuco,Toritama,Nordeste,8137411696,Sim,,Novo/Sem Contato
Volganice modas,LBM/LM,,Colcci,https://www.instagram.com/lojavolganicemodas/,PE - Pernambuco,Venturosa,Nordeste,87991084150,Sim,,Novo/Sem Contato
San Bela boutique,LBM/LM,,Colcci,https://www.instagram.com/sanbellaboutique/,PE - Pernambuco,Caraibeiras,Nordeste,,Sim,,Novo/Sem Contato
Lechic Store,LBM/LM,,"Colcci, Forum",https://www.instagram.com/le_chic_store_/,PE - Pernambuco,Carpina,Nordeste,81991990927,Sim,,Novo/Sem Contato
Sol da Terra,LBM/LM,,"Lança perfume, Acostamento, Calvin Klein",https://www.instagram.com/lsoldaterra/,PB - Paraíba,Conceicao,Nordeste,83999890751,Sim,,Novo/Sem Contato
Loja Monymaya,LBM,,Lança perfume,https://www.instagram.com/monymaya_desterro/,PB - Paraíba,Desterro,Nordeste,83988503203,Sim,,Novo/Sem Contato
Capricho store,LBM,,"Lança perfume, Damyller, Myft",https://www.instagram.com/caprichostorepb/,PB - Paraíba,Coremas,Nordeste,83998110746,Sim,,Novo/Sem Contato
Belíssima Boutique,LBM/LM,,Lança perfume,https://www.instagram.com/belissimaboutiqueteixeira/,PB - Paraíba,Teixeira,Nordeste,83996490493,Sim,,Novo/Sem Contato
Topazion Modas,LBM/LM,,Lança perfume,https://www.instagram.com/topazionmodas/,PB - Paraíba,Itaporanga,Nordeste,83996184800,Sim,,Novo/Sem Contato
Marinho multimarcas,LBM/LM,,"Lança perfume, Colcci, Acostamento",https://www.instagram.com/usemarinhomultimarcas/,PB - Paraíba,Capim,Nordeste,83991753620,Sim,,Novo/Sem Contato
Daffny modas,LBM/LM,,Colcci,https://www.instagram.com/daffnymodas/,PB - Paraíba,Brejo dos Santos,Nordeste,83999527283,Sim,,Novo/Sem Contato
Mirian Boutique,LBM/LM,,"Colcci, Lança perfume, Vizzano",https://www.instagram.com/mirianboutiquesj/,PB - Paraíba,Sao Joao do Rio do Peixe,Nordeste,83999620009,Sim,,Novo/Sem Contato
Original Store,LBM/LM,,Colcci,https://www.instagram.com/originalstoresousa/,PB - Paraíba,Sousa,Nordeste,83991076079,Sim,,Novo/Sem Contato
Excluzziva For Man,LM,,"Tommy, Calvin Klein, Lacoste, Levis, Ralph Lauren",https://www.instagram.com/excluzzivaforman/,CE - Ceará,Sobral,Nordeste,88988428056,Sim,,Novo/Sem Contato
Loja Aquarella,LM,,"Acostamento, Docthos, Redley, Pura Mania",https://www.instagram.com/aquarella_igt/,CE - Ceará,Centro Iguatu,Nordeste,88997807902,Sim,,Novo/Sem Contato
Sandra Rolim Boutique,LBM/LM,,"Lança perfume, Schutz, Farm, Arezzo",https://www.instagram.com/sandrarolimb/,CE - Ceará,Brejo Santo,Nordeste,88999070654,Sim,,Novo/Sem Contato
Morena Bella Boutique,LBM/LM,,"Lança perfume, Calvin Klein, Hangar33",https://www.instagram.com/morenabellab/,CE - Ceará,Quixada,Nordeste,88997137329,Sim,,Novo/Sem Contato
Loja Tchic,LBM,,"Colcci, Calvin Klein, Reserva, Santa Lolla",https://www.instagram.com/lojatchic/,CE - Ceará,Monsenhor Tabosa,Nordeste,,Sim,,Novo/Sem Contato
Biss boutique,LBM/LM,,"Colcci, Reserva",https://www.instagram.com/bissboutique/,CE - Ceará,Itapipoca,Nordeste,88996553940,Sim,,Novo/Sem Contato
Moda nobre,LBM/LM,,Colcci,https://www.instagram.com/modanobre/,CE - Ceará,Quixeramobim,Nordeste,88998373902,Sim,,Novo/Sem Contato
Lojas Tsunamy,LBM/LM,,"Lança perfume, Colcci",https://www.instagram.com/tsunamy_multimarcas/,CE - Ceará,Barbalha,Nordeste,88981159941,Sim,,Novo/Sem Contato
Lojas Tsunamy,LBM/LM,,"Lança perfume, Colcci",https://www.instagram.com/tsunamy_multimarcas/,CE - Ceará,Barbalha,Nordeste,88981159941,Sim,,Novo/Sem Contato
Estillus store,LBM/LM,,Colcci,https://www.instagram.com/estillus_store/,CE - Ceará,Ipueiras,Nordeste,88993484618,Sim,,Novo/Sem Contato
Alla Z,LBM/LM,,"Reserva, Farm, Animale, Calvin Klein, Osklen",https://www.instagram.com/allaz.barreiras/,BA - Bahia,Barreiras,Nordeste,77999918407,Sim,,Novo/Sem Contato
Top Estilo,LBM/LM,,"Tommy, Acostamento, Dimy, Hering, New Balance",https://www.instagram.com/topestilooficial/,BA - Bahia,Cacule,Nordeste,77991591162,Sim,,Novo/Sem Contato
Dolce Modas,LBM/LM,,"Lança perfume, Calvin Klein, Lacoste, Acostamento",https://www.instagram.com/dolce_loja/,BA - Bahia,Juazeiro,Nordeste,74988114605,Sim,,Novo/Sem Contato
Tornado Modas,LM,,"Reserva, Tommy, Acostamento, Nike",https://www.instagram.com/tornado_modas/,BA - Bahia,Barreiras,Nordeste,77999230580,Sim,,Novo/Sem Contato
Glamour Special,LBM/LM,,"Colcci, Forum, Sommer, Arezzo",https://www.instagram.com/glamour.special/,BA - Bahia,Casa Nova,Nordeste,74988169899,Sim,,Novo/Sem Contato
Boutique Sandes,LBM,,"Lança perfume, Charry, Bana Bana",https://www.instagram.com/boutiquesandes/,BA - Bahia,Brumado,Nordeste,77999990799,Sim,,Novo/Sem Contato
MA Modas,LBM/LM,,"Lança perfume, Tommy, Acostamento, Aero",https://www.instagram.com/ma_modass/,MT - Mato Grosso,Santa Carmem,Centro-Oeste,66996279571,Sim,,Novo/Sem Contato
Malu moda,LBM/LM,,"Acostamento, Reserva, John John, Osklen",https://www.instagram.com/maluforman/,MS - Mato Grosso do Sul,Tres Lagoas,Centro-Oeste,67991385453,Sim,,Novo/Sem Contato
Malu moda,LBM/LM,,"Acostamento, Reserva, John John, Osklen",https://www.instagram.com/maluforman/,MS - Mato Grosso do Sul,Tres Lagoas,Centro-Oeste,67991385453,Sim,,Novo/Sem Contato
Five Clothing,LM,,"Tommy, Aero, Hollister",https://www.instagram.com/fiveclothing/,RS - Rio Grande do Sul,Porto Alegre,Sul,51999965325,Sim,,Novo/Sem Contato
Apholo Moda Feminina,LBM,,"Calvin Klein, Dimy, BanaBana, Levis",https://www.instagram.com/apholo.modafeminina/,RS - Rio Grande do Sul,Marau,Sul,54999260702,Sim,,Novo/Sem Contato
Golden Brands,LBM/LM,,"Lança perfume, Myft, Tommy, Ellus, Arezzo, Ana Capri",https://www.instagram.com/goldenbrandsrm/,RO - Rondônia,Rolim de Moura,Norte,69984103153,Sim,,Novo/Sem Contato
Loja do Carmo,LBM/LM,,"Lança perfume, Forum, Aramis, Calvin Klein, Osklen ",https://www.instagram.com/lojadocarmo_/,RO - Rondônia,Ariquemes,Norte,69999822484,Sim,,Novo/Sem Contato
Stones Menswear,LM,,"Tommy, Acostamento, Calvin Klein, Beagle",https://www.instagram.com/stonesmenswear/,RO - Rondônia,Cacoal,Norte,69984889252,Sim,,Novo/Sem Contato
Sucesso Select,LM,,"Buh, Tommy, Calvin Klein, Aero, John John, Lacoste, Nike",https://www.instagram.com/sucessoselect/,MG - Minas Gerais,Belo Horizonte,Sudeste,31993111022,Sim,,Novo/Sem Contato
Sedução Boutique,LBM/LM,,"Morena Rosa, Tommy",https://www.instagram.com/seducao.boutique/,BA - Bahia,Eunapolis,Nordeste,73981149381,Sim,,Novo/Sem Contato
Trend,LBM/LM,,"Colcci, Schutz, Reserva, Maria Filó, Santa Lolla, Forum, Arezzo",https://www.instagram.com/lojas.trend/,DF - Distrito Federal,Planaltina,Centro-Oeste,61984234465,Sim,,Novo/Sem Contato
Loja Zouk,LBM,,"Farm, Animale, All's",https://www.instagram.com/lojazouk/,MG - Minas Gerais,Muriae,Sudeste,32998179276,Sim,,Novo/Sem Contato
Zero Graw,LBM/LM,,"Colcci, Forum, John John, Calvin Klein, Tommy, Levis",https://www.instagram.com/zerograwboutique/,SP - São Paulo,Vargem Grande do Sul,Sudeste,19974192491‬,Sim,,Novo/Sem Contato
J Mali,LBM/LM,,"Colcci, Calvin Klein, Forum, Eleven, Cholet",https://www.instagram.com/jmaliboutique/,SP - São Paulo,Guarulhos,Sudeste,11950254004,Sim,,Novo/Sem Contato
Valentina Multimarcas,LBM,,"Colcci, Farm, Open, Reserva, Animale, Osklen, Forum",https://www.instagram.com/valentinavix/,ES - Espírito Santo,Vitoria,Sudeste,27996005742,Sim,,Novo/Sem Contato
Spaço Boutique,LBM/LM,,"Colcci, Acostamento, Levis, Ogochi ",https://www.instagram.com/spaco_boutique/,MA - Maranhã,Barra do Corda,Nordeste,9981819535,Sim,,Novo/Sem Contato
Pipirote,LBM/LM,,"Colcci, Sommer, Ogochi",https://www.instagram.com/pipirote/,MG - Minas Gerais,Belo Oriente,Sudeste,3191402902,Sim,,Novo/Sem Contato
Mundial Boutique,LBM,,"Colcci, Forum, Melissa, Cholet",https://www.instagram.com/mundialboutique/,MG - Minas Gerais,Vicosa,Sudeste,31988333888,Sim,,Novo/Sem Contato
Espaço Florita,LBM/LM,,"Tommy, Hope, Maria Filó, Ellus",https://www.instagram.com/espaco_florita/,MG - Minas Gerais,Leopoldina,Sudeste,32988270171,Sim,,Novo/Sem Contato
Camarim Modas,LBM/LM,,"Sommer, Lez a lez, Dzarm",https://www.instagram.com/camarim_/,MG - Minas Gerais,Machado,Sudeste,3532957291,Sim,,Novo/Sem Contato
Getex Confecções,LBM/LM,,"Colcci, Forum, Patogê",https://www.instagram.com/getexconfeccoesoficial/,MG - Minas Gerais,Mato Verde,Sudeste,38998928224,Sim,,Novo/Sem Contato
Boutique Vithrine,LBM/LM,,"Forum, My Place, Cavalera, Arezzo",https://www.instagram.com/boutiquevithrine/,MG - Minas Gerais,Santa Rita do Sapucai,Sudeste,3534711617,Sim,,Novo/Sem Contato
Albane Boutique,LBM/LM,,"Colcci, Santa Lolla",https://www.instagram.com/albaneboutique/,MG - Minas Gerais,Santa Margarida,Sudeste,31982349594,Sim,,Novo/Sem Contato
Atittude Boutique,LBM/LM,,"Colcci, Acostamento, Morena Rosa, Forum",https://www.instagram.com/atittudeboutique/,MG - Minas Gerais,Ipuiuna,Sudeste,35999209072,Sim,,Novo/Sem Contato
Intimação Resplendor,LBM/LM,,"Colcci, Morena Rosa, Lez a Lez, Maria Valentina",https://www.instagram.com/intimacaoresplendor/,MG - Minas Gerais,Resplendor,Sudeste,33991550245,Sim,,Novo/Sem Contato
Laís Fashion,LBM/LM,,"Colcci, Morena Rosa, Farm, Patogê, Ellus",https://www.instagram.com/lojalaisfashion/,MG - Minas Gerais,Itacarambi,Sudeste,38992423031,Sim,,Novo/Sem Contato
Tuti Concept,LM,,"Lacoste, Osklen, Boss, Diesel",https://www.instagram.com/tuti.concept/,MG - Minas Gerais,Pampulha,Sudeste,31998230202,Sim,,Novo/Sem Contato
Leninha Modas,LBM/LM,,"Farm, Flor de Lis, Osmozejeans, Slywear, Docthos",https://www.instagram.com/lojaleninhamodas/,MG - Minas Gerais,Sao Domingos do Prata,Sudeste,31998989722,Sim,,Novo/Sem Contato
Uxa Boutique,LBM/LM,,"Colcci, Forum, Skazi",https://www.instagram.com/uxa_boutique/,MG - Minas Gerais,Ponte Nova,Sudeste,31987805028,Sim,,Novo/Sem Contato
Agua na Boca Boutique,LBM/LM,,"Lacoste, Osklen, Animale, Dress To",https://www.instagram.com/aguanabocaboutique/,MG - Minas Gerais,Conselheiro Lafaiete,Sudeste,31998029743,Sim,,Novo/Sem Contato
Juliana Lage Boutique,LBM,,"Lança perfume, Colcci",https://www.instagram.com/julianalageboutique/,MG - Minas Gerais,Itajuba,Sudeste,3536220205,Sim,,Novo/Sem Contato
Realce Boutique,LBM/LM,,"Colcci, Morena Rosa, Reserva, Schutz, Acostamento",https://www.instagram.com/userealce/,MG - Minas Gerais,manhuacu,Sudeste,33984159769,Sim,,Novo/Sem Contato
Mundial For Men,LM,,"Colcci, Ellus, Urbô, Aramis",https://www.instagram.com/mundialformen/,MG - Minas Gerais,Vicosa,Sudeste,31988585575,Sim,,Novo/Sem Contato
Kuka Boutique,LBM/LM,,"Colcci, Beagle, Lez a Lez",https://www.instagram.com/kukaboutique/,MG - Minas Gerais,Formiga,Sudeste,37988084236,Sim,,Novo/Sem Contato
Guapa Multimarcas,LBM/LM,,"Colcci, Farm, Sommer, Open, My Place, Dress To",https://www.instagram.com/guapaloja/,MG - Minas Gerais,Belo Horizonte,Sudeste,31993280882,Sim,,Novo/Sem Contato
ConceitoZ For Men,LM,,"Colcci, Tommy, Reserva, Acostamento, Aero, Calvin Klein",https://www.instagram.com/conceitozformenoficial/,MG - Minas Gerais,Patrocinio,Sudeste,34988556355,Sim,,Novo/Sem Contato
AG Basic Store,LM,,"Tommy, Reserva, Lacoste, Ogochi",https://www.instagram.com/agbasicstore/,MG - Minas Gerais,Ipatinga,Sudeste,31988437976,Sim,,Novo/Sem Contato
Vity Store,LBM/LM,,"Colcci, Sommer, Urbô",https://www.instagram.com/vity_store/,MG - Minas Gerais,Almenara,Sudeste,33998698831,Sim,,Novo/Sem Contato
Loja Sonho de Mulher,LBM,,"Colcci, Schutz, Dzarm",https://www.instagram.com/lojasonhodemulher/,MG - Minas Gerais,Ibirite,Sudeste,31996320868,Sim,,Novo/Sem Contato
Loja Emporium,LBM,,"Colcci, Farm, Open, Schutz, Dress To",https://www.instagram.com/lojaemporium/,MG - Minas Gerais,Betim,Sudeste,31971220932,Sim,,Novo/Sem Contato
Ravello,LBM/LM,,"Lança perfume, Colcci, Farm, Ogochi",https://www.instagram.com/ravellooficial/,MG - Minas Gerais,Divino ,Sudeste,32998176535,Sim,,Novo/Sem Contato
Authentic Man,LM,,"Colcci, Levis, Reserva, Calvin Klein, Tommy",https://www.instagram.com/authenticmanmultimarcas/,MG - Minas Gerais,Lagoa da Prata,Sudeste,37998448302,Sim,,Novo/Sem Contato
Pura Emoção Boutique,LBM/LM,,"Lança perfume, Osklen, Animale, Schutz, Myft, Ogochi",https://www.instagram.com/boutiquepuraemocao/,MG - Minas Gerais,Guaxupe,Sudeste,35999851511,Sim,,Novo/Sem Contato
Santa Rosa Boutique,LBM/LM,,"Colcci, Levis",https://www.instagram.com/starosaboutique/,MG - Minas Gerais,Alpinopolis,Sudeste,35999895788,Sim,,Novo/Sem Contato
Manu Boutique,LBM/LM,,"Colcci, Morena Rosa, Patogê, Malwee",https://www.instagram.com/manu.boutiquee/,MG - Minas Gerais,Resende Costa,Sudeste,32999640117,Sim,,Novo/Sem Contato
Graça Novidades Boutique,LBM/LM,,"Colcci, Ogochi, Ilicito, Latreille",https://www.instagram.com/gracanovidades/,MG - Minas Gerais,Biquinhas,Sudeste,3735461127,Sim,,Novo/Sem Contato
Styllu's Modas,LBM/LM,,"Colcci, Lez a Lez, Sommer",https://www.instagram.com/styllusmodasmodas/,MG - Minas Gerais,Ipanema,Sudeste,3333142100,Sim,,Novo/Sem Contato
Amigas do Closet,LBM/LM,,"Colcci, Acostamento, Ellus",https://www.instagram.com/amigasdoclosetgmor/,MG - Minas Gerais,Guarda Mor,Sudeste,38998922744,Sim,,Novo/Sem Contato
Ops Multimarcas,LBM/LM,,"Colcci, Farm, Cholet, Shoulder",https://www.instagram.com/lojaops_multimarcas/,MG - Minas Gerais,Para de Minas,Sudeste,37999934626,Sim,,Novo/Sem Contato
Degraus,LBM/LM,,"Colcci, Farm, Arezzo, Patogê",https://www.instagram.com/degrausoficial/,MG - Minas Gerais,Vespasiano,Sudeste,31984932555,Sim,,Novo/Sem Contato
Lanikai,LM,,"Tommy, Lacoste, Calvin Klein, Aramis, Ellus",https://www.instagram.com/lanikaistore/,MG - Minas Gerais,Conselheiro Lafaiete,Sudeste,3137611303,Sim,,Novo/Sem Contato
Michelle Modas,LBM/LM,,"Colcci, Morena Rosa, Flor de Lis, Mormaii",https://www.instagram.com/michelle.modas/,MG - Minas Gerais,Santana do Paraiso,Sudeste,31980148184,Sim,,Novo/Sem Contato
Leque store,LBM,,"Lança perfume, Cantão, Dress To, Farm, Animale",https://www.instagram.com/leque.store/,MG - Minas Gerais,Ituiutaba,Sudeste,3432613317,Sim,,Novo/Sem Contato
Five multimarcas,LBM/LM,,"Colcci, Animale, Reserva",https://www.instagram.com/five.multimarcas/,RJ - Rio de Janeiro,Itaipava,Sudeste,24993293091,Sim,,Novo/Sem Contato
Luciana Majuk's,LBM,,"Colcci, Morena Rosa, Calvin Klein, Ogochi",https://www.instagram.com/lucianamajuks/,MG - Minas Gerais,Varginha,Sudeste,35997660275,Sim,,Novo/Sem Contato
Impacto Boutique,LBM/LM,,"Farm, Dimy, Patogê, My Place, Eleven",https://www.instagram.com/impacto_boutique/,MG - Minas Gerais,Minas Novas,Sudeste,33991990462,Sim,,Novo/Sem Contato
Toque Final Boutique,LBM/LM,,"Lança perfume, Colcci, John John, Reserva, My Place",https://www.instagram.com/toquefinalboutiqueoficial/,MG - Minas Gerais,Varzea da Palma,Sudeste,38988481989,Sim,,Novo/Sem Contato
Engenharia da moda,LBM,,"Colcci, Morena Rosa, Santa Lolla",https://www.instagram.com/engenhariadamodaoficial/,MG - Minas Gerais,Ituiutaba,Sudeste,34999738122,Sim,,Novo/Sem Contato
Fox Varginha,LBM,,"Colcci, Myft, Cantão, Dress To",https://www.instagram.com/foxvarginha/,MG - Minas Gerais,Varginha,Sudeste,35992720036,Sim,,Novo/Sem Contato
Kamaleoa moda,LBM/LM,,"Reserva, Animale, Osklen, Patogê, My Place, Aramis",https://www.instagram.com/kamaleoa.moda/,MG - Minas Gerais,Joao Pinheiro,Sudeste,38999352747,Sim,,Novo/Sem Contato
The Motta's Boutique,LBM/LM,,"Colcci, Calvin Klein, Santa Lolla",https://www.instagram.com/themottasboutiquee/,MG - Minas Gerais,Monte Alegre de Minas,Sudeste,34991107902,Sim,,Novo/Sem Contato
Trapo Fino,LBM/LM,,"Farm, Calvin Klein, Live, Flor de Lis, Animale, Lez a Lez",https://www.instagram.com/trapofinovendas/,MG - Minas Gerais,Entre Rio de Minas,Sudeste,32999368354,Sim,,Novo/Sem Contato
Flora Store,LBM/LM,,"Colcci, Lez a Lez,",https://www.instagram.com/flora_store21/,MG - Minas Gerais,Rio Casca,Sudeste,31982595998,Sim,,Novo/Sem Contato
Thaís Boutique,LBM/LM,,"Tommy, Ogochi, Cavalera, My Place, Ellus, Coca Cola",https://www.instagram.com/thais_boutique/,MG - Minas Gerais,Unai,Sudeste,38998681948,Sim,,Novo/Sem Contato
